"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,"Not at all",1
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,NA,2
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,NA,3
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,NA,4
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,"Moderately",5
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,NA,6
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,NA,7
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,NA,8
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itaggressive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Aggressive",NA,"Extremely",9
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,"Not at all",1
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,NA,2
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,NA,3
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,NA,4
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,"Moderately",5
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,NA,6
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,NA,7
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,NA,8
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itathletic","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Athletic",NA,"Extremely",9
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,"Not at all",1
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,NA,2
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,NA,3
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,NA,4
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,"Moderately",5
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,NA,6
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,NA,7
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,NA,8
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itattractive","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Physically attractive",NA,"Extremely",9
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,"Not at all",1
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,NA,2
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,NA,3
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,NA,4
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,"Moderately",5
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,NA,6
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,NA,7
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,NA,8
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itconsiderate","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Considerate",NA,"Extremely",9
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,"Not at all",1
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,NA,2
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,NA,3
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,NA,4
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,"Moderately",5
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,NA,6
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,NA,7
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,NA,8
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcourageous","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Courageous",NA,"Extremely",9
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcruel","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Cruel",NA,"Not at all",1
"sun_2025_morality_study3_moralratings","sun_2025_morality_study3_moralratings_1","itcruel","Informant-reported trait adjective ratings (Sun, Wu & Goodwin, 2025, Study 3)",NA,"To what extent is [target's name]…","Cruel",NA,NA,2
