"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,"40%",4
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,"50%",5
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,"60%",6
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,"70%",7
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,"80%",8
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,"90%",9
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_3","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Civil service in the country you live?",NA,NA,10
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"No trust",0
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"10%",1
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"20%",2
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"30%",3
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"40%",4
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"50%",5
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"60%",6
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"70%",7
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"80%",8
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,"90%",9
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_4","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Health system in the country you live?",NA,NA,10
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"No trust",0
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"10%",1
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"20%",2
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"30%",3
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"40%",4
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"50%",5
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"60%",6
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"70%",7
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"80%",8
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,"90%",9
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_5","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","The World Health Organisation (WHO)",NA,NA,10
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"No trust",0
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"10%",1
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"20%",2
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"30%",3
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"40%",4
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"50%",5
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"60%",6
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"70%",7
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"80%",8
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,"90%",9
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_6","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Government's effort to handle Coronavirus (in the country you live)?",NA,NA,10
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"No trust",0
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"10%",1
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"20%",2
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"30%",3
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"40%",4
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"50%",5
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"60%",6
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"70%",7
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"80%",8
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,"90%",9
"ecps_sahm_2024_trust","ecps_sahm_2024_trust_1","trust_7","COVIDiSTRESS Global Survey Round II: Trust in institutions",NA,"Please tell us how much you trust each of the institutions below. Please base your answer on your general impression.","Scientific research community",NA,NA,10
