"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mental_health_malawi","mental_health_malawi_1",3,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you form new relationships with fellow on-line users?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",3,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you form new relationships with fellow on-line users?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",3,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you form new relationships with fellow on-line users?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",4,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do others in your life complain to you about the amount of time you spend online?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",4,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do others in your life complain to you about the amount of time you spend online?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",4,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do others in your life complain to you about the amount of time you spend online?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",4,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do others in your life complain to you about the amount of time you spend online?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",4,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do others in your life complain to you about the amount of time you spend online?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",5,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do your grades or school-work suffer because of the amount of time you spend on-line?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",5,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do your grades or school-work suffer because of the amount of time you spend on-line?",NA,"Occasionally",2
